# Easting [m] 	 Northing [m] 	 Period [s] 	 Phase velocity [m/s] 	 Differenz [m/s] 	 Anzahl Iterationen
-118	42	5	3147.64	1.08778e-07	13
-118	42	10	3194.93	1.36424e-12	6
-118	42	20	3512.27	7.43703e-05	8
-118	42	40	3695.05	1.81899e-12	9
-118	43	0.1	3165.11	7.17568e-05	24
-118	43	5	3195.64	8.82036e-06	10
-118	43	10	3248.08	1.36424e-12	5
-118	43	20	3496.18	5.45697e-12	7
-118	43	40	3699.19	1.81899e-12	5
-118	44	0.1	3171.17	9.9961e-05	23
-118	44	5	3215.74	1.36424e-12	6
-118	44	10	3288.71	3.30147e-09	5
-118	44	20	3542.57	2.41552e-06	7
-118	44	40	3768.87	2.24099e-09	10
-118	45	0.1	3146.87	3.87779e-05	23
-118	45	5	3193.86	2.31616e-08	7
-118	45	10	3294.75	6.85983e-06	10
-118	45	20	3592.34	2.14595e-09	4
-118	45	40	3827.94	1.81899e-12	9
-118	46	0.1	3210.46	5.74059e-05	23
-118	46	5	3244.23	1.36424e-12	10
-118	46	10	3327.08	6.58411e-05	3
-118	46	20	3636.69	9.40879e-07	7
-118	46	40	3868.55	1.06432e-05	7
-118	47	0.1	3300.47	9.41744e-05	23
-118	47	5	3311.24	3.84509e-07	13
-118	47	10	3369.53	1.05138e-09	7
-118	47	20	3674.28	1.81899e-12	9
-118	47	40	3897.54	5.99318e-06	9
-118	48	0.1	3354.77	4.58344e-05	24
-118	48	5	3356.82	8.41737e-10	16
-118	48	10	3388.34	1.43882e-09	6
-118	48	20	3635.14	7.27596e-12	7
-118	48	40	3867.7	1.36424e-11	7
-118	49	0.1	3374.81	7.62611e-05	9
-118	49	5	3370.97	1.22897e-07	9
-118	49	10	3378.37	1.36424e-12	5
-118	49	20	3573.84	4.60604e-08	5
-118	49	40	3833.64	2.31517e-07	9
-117	38	0.1	2979.67	9.39229e-05	23
-117	38	5	3076.21	5.36602e-11	4
-117	38	10	3220.86	1.36424e-12	7
-117	38	20	3546.25	4.83586e-05	7
-117	38	40	3783.99	3.18323e-12	9
-117	39	0.1	3064.65	5.0409e-05	25
-117	39	5	3111.58	1.97556e-07	7
-117	39	10	3213.21	1.37375e-08	10
-117	39	20	3588.01	6.82121e-12	5
-117	39	40	3788.77	1.54082e-08	6
-117	40	0.1	3094.51	5.53328e-05	23
-117	40	5	3120.69	5.42982e-05	11
-117	40	10	3214.7	9.09495e-12	4
-117	40	20	3600.79	1.81899e-12	6
-117	40	40	3764.23	5.40149e-09	6
-117	41	0.1	3103.66	6.21489e-05	23
-117	41	5	3129.38	2.72848e-12	12
-117	41	10	3219.16	7.38816e-07	5
-117	41	20	3590.06	3.63798e-12	5
-117	41	40	3744.5	2.74639e-05	7
-117	42	0.1	3167.42	7.18093e-05	24
-117	42	5	3195.36	7.34574e-05	11
-117	42	10	3262.71	3.14685e-10	5
-117	42	20	3562.14	3.3191e-05	7
-117	42	40	3722.12	1.81899e-12	9
-117	43	0.1	3246.29	5.8934e-05	15
-117	43	5	3270.95	8.32188e-11	6
-117	43	10	3300.44	5.938e-08	12
-117	43	20	3519.39	4.54747e-12	7
-117	43	40	3705.12	1.81899e-12	9
-117	44	0.1	3213.49	7.64721e-05	14
-117	44	5	3251.42	3.49627e-07	7
-117	44	10	3301.7	1.15042e-06	10
-117	44	20	3535.16	2.72848e-12	6
-117	44	40	3772.07	1.81899e-12	7
-117	45	0.1	3232.85	7.0309e-05	24
-117	45	5	3268.39	2.32288e-07	7
-117	45	10	3323.36	1.94341e-08	7
-117	45	20	3574.85	8.8462e-09	7
-117	45	40	3844.51	1.48157e-09	6
-117	46	0.1	3293.82	8.89045e-05	24
-117	46	5	3311.89	6.18279e-08	12
-117	46	10	3353.66	5.91172e-12	7
-117	46	20	3633.4	3.18323e-12	7
-117	46	40	3901.09	9.10404e-10	10
-117	47	0.1	3302.7	5.79926e-05	23
-117	47	5	3316.41	2.00016e-08	13
-117	47	10	3368.1	2.27374e-12	6
-117	47	20	3662.08	5.11799e-05	8
-117	47	40	3913.55	8.86283e-05	10
-117	48	0.1	3334.34	5.4845e-05	25
-117	48	5	3346.19	1.36424e-12	15
-117	48	10	3383.74	1.36424e-12	9
-117	48	20	3630.77	2.72848e-12	5
-117	48	40	3894.69	3.18323e-12	6
-117	49	0.1	3295.53	4.6178e-05	23
-117	49	5	3323.5	1.48248e-05	10
-117	49	10	3372.93	1.36424e-12	6
-117	49	20	3571.91	5.45697e-12	7
-117	49	40	3865.77	1.81899e-12	9
-116	38	0.1	3018.59	5.30038e-05	23
-116	38	5	3091.69	9.45874e-11	5
-116	38	10	3217.84	3.18323e-12	10
-116	38	20	3552.24	5.59235e-06	7
-116	38	40	3778.39	3.12571e-08	9
-116	39	0.1	3124.15	5.72515e-05	24
-116	39	5	3144.11	9.57834e-08	10
-116	39	10	3226.12	1.41917e-05	4
-116	39	20	3611.06	5.00222e-12	5
-116	39	40	3784.6	3.22871e-11	5
-116	40	0.1	3153.68	5.52683e-05	23
-116	40	5	3177.12	5.9733e-06	10
-116	40	10	3262.06	2.72848e-12	7
-116	40	20	3621.97	1.81899e-12	6
-116	40	40	3776.3	1.11413e-10	9
-116	41	0.1	3125.77	9.85289e-05	23
-116	41	5	3165.98	1.36424e-12	6
-116	41	10	3273.05	3.74075e-09	10
-116	41	20	3596.43	1.59162e-11	9
-116	41	40	3748.28	2.72848e-12	9
-116	42	0.1	3194.96	9.11637e-05	23
-116	42	5	3227.85	1.74987e-09	9
-116	42	10	3297.26	2.03109e-05	2
-116	42	20	3547.05	2.27374e-12	9
-116	42	40	3722.47	8.46512e-09	6
-116	43	0.1	3219.86	9.16957e-05	23
-116	43	5	3240.46	3.64855e-06	10
-116	43	10	3285.38	1.36424e-12	7
-116	43	20	3522.4	6.42663e-07	4
-116	43	40	3712.38	1.04592e-11	7
-116	44	0.1	3267.36	7.52467e-05	12
-116	44	5	3281.76	2.72848e-12	7
-116	44	10	3300.54	9.29018e-06	5
-116	44	20	3514.84	1.30708e-08	5
-116	44	40	3762.14	1.81899e-12	10
-116	45	0.1	3258.16	5.92637e-05	14
-116	45	5	3326.64	1.36424e-12	10
-116	45	10	3336.03	8.59202e-05	12
-116	45	20	3529.88	1.34605e-10	5
-116	45	40	3843.52	3.15747e-06	5
-116	46	0.1	3300.44	6.57834e-05	8
-116	46	5	3318.09	1.36424e-12	7
-116	46	10	3350.48	1.39291e-06	4
-116	46	20	3615.51	7.24599e-08	7
-116	46	40	3899.37	9.54969e-12	7
-116	47	0.1	3311.46	9.43332e-05	23
-116	47	5	3323.8	1.60379e-05	13
-116	47	10	3363.35	8.42947e-08	7
-116	47	20	3647.41	3.20915e-09	4
-116	47	40	3921.08	4.36557e-11	10
-116	48	0.1	3312.64	5.10359e-05	25
-116	48	5	3345.39	1.36424e-12	6
-116	48	10	3381.26	6.5088e-09	4
-116	48	20	3600.94	1.81899e-12	6
-116	48	40	3913.02	1.81899e-12	10
-116	49	0.1	3225.82	5.65947e-05	23
-116	49	5	3286.75	2.78834e-06	5
-116	49	10	3370.7	2.94358e-09	10
-116	49	20	3571.72	6.69787e-05	7
-116	49	40	3904.33	9.39995e-08	5
-115	38	0.1	3123.02	5.48377e-05	23
-115	38	5	3149.26	1.81899e-12	12
-115	38	10	3231.34	1.48145e-05	6
-115	38	20	3577.51	3.72893e-11	6
-115	38	40	3768.33	1.29169e-05	7
-115	39	0.1	3180.94	9.07638e-05	23
-115	39	5	3190.31	1.48721e-06	12
-115	39	10	3251.16	6.07662e-06	6
-115	39	20	3614.07	3.21643e-09	7
-115	39	40	3775	8.25146e-05	9
-115	40	0.1	3198.62	5.6165e-05	23
-115	40	5	3212.75	1.36424e-12	12
-115	40	10	3280.36	1.22782e-11	5
-115	40	20	3627.24	6.22008e-07	7
-115	40	40	3770.15	5.96903e-06	9
-115	41	0.1	3179.68	9.07276e-05	23
-115	41	5	3219.28	1.36424e-12	7
-115	41	10	3316.68	2.10449e-05	9
-115	41	20	3606.17	2.15589e-06	7
-115	41	40	3744.45	1.81899e-12	12
-115	42	0.1	3170.68	9.04709e-05	23
-115	42	5	3206.13	8.22154e-05	3
-115	42	10	3294.98	1.36424e-12	7
-115	42	20	3559.73	1.36424e-12	9
-115	42	40	3726.96	1.81899e-12	9
-115	43	0.1	3214.86	5.28793e-05	25
-115	43	5	3222.33	4.09273e-12	13
-115	43	10	3261.56	5.94086e-07	7
-115	43	20	3500.46	1.50067e-11	5
-115	43	40	3706.65	3.18323e-12	9
-115	44	0.1	3217.82	8.98226e-05	23
